City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
331,kendal,54.3268,-2.7476,8.24,92,100,2.51,GB,1676141309
332,abu zabad,12.35,29.25,26.25,17,26,4.98,SD,1676141309
333,banjar,-8.19,114.9675,25.17,90,100,1.38,ID,1676141310
334,semirom,31.4167,51.5667,-4.09,72,31,1.9,IR,1676141310
335,ovre ardal,61.3167,7.8,2.89,100,100,2.32,NO,1676141310
336,hirado,33.3597,129.5531,10.41,70,4,2.65,JP,1676141311
337,college,64.8569,-147.8028,-15.23,84,75,0.0,US,1676141311
338,diamantino,-14.4086,-56.4461,31.8,55,43,1.35,BR,1676141311
339,penzance,50.1186,-5.5371,9.38,84,8,3.67,GB,1676141312
340,kieta,-6.2167,155.6333,26.1,83,100,2.03,PG,1676141312
341,tual,-5.6667,132.75,28.16,77,100,9.36,ID,1676141312
342,mantua,45.1667,10.7833,5.53,69,11,0.45,IT,1676141313
343,pochinki,54.6988,44.8668,-6.49,92,100,5.83,RU,1676141313
344,ternate,0.8,127.4,26.26,82,100,3.6,ID,1676141313
345,klaksvik,62.2266,-6.589,9.51,83,94,14.54,FO,1676141313
346,izumo,35.3667,132.7667,2.97,86,0,1.86,JP,1676141247
347,bangui,4.3612,18.555,29.27,21,9,1.43,CF,1676141314
348,provideniya,64.3833,-173.3,-28.81,92,38,3.66,RU,1676141314
349,fortuna,40.5982,-124.1573,10.55,84,40,0.89,US,1676141314
350,ust-omchug,61.15,149.6333,-29.04,99,100,1.0,RU,1676141315
351,limbang,4.75,115.0,25.06,97,100,0.82,MY,1676141315
352,mogadishu,2.0371,45.3438,25.05,78,8,10.52,SO,1676141315
353,biak,-0.9131,122.8766,24.72,79,99,2.07,ID,1676141316
354,chuy,-33.6971,-53.4616,31.38,41,0,6.36,UY,1676141316
355,polohy,47.4844,36.2536,-1.03,54,100,4.48,UA,1676141316
356,ayabe,35.3,135.25,6.93,82,5,1.76,JP,1676141317
357,ostrovnoy,68.0531,39.5131,-4.53,92,100,10.78,RU,1676141317
358,shitanjing,39.2342,106.3439,-2.44,92,100,3.22,CN,1676141317
359,san martin,-33.081,-68.4681,34.3,17,0,7.6,AR,1676141318
360,anito,12.4497,125.2886,24.41,83,82,4.02,PH,1676141318
361,bahir dar,11.5936,37.3908,23.63,32,61,2.87,ET,1676141318
362,mount isa,-20.7333,139.5,22.87,64,11,3.6,AU,1676141318
363,araouane,18.9048,-3.5265,28.07,8,99,4.42,ML,1676141319
364,talnakh,69.4865,88.3972,-9.1,96,100,4.13,RU,1676141319
365,bom jesus,-9.0744,-44.3586,38.32,22,36,3.17,BR,1676141319
366,tahta,26.7693,31.5021,14.49,42,6,4.99,EG,1676141320
367,lakes entrance,-37.8811,147.981,15.93,92,24,4.52,AU,1676141320
368,ibra,22.6906,58.5334,20.65,45,0,1.0,OM,1676141320
369,mamallapuram,12.6264,80.1722,24.03,67,83,1.95,IN,1676141321
370,coos bay,43.3665,-124.2179,9.44,83,20,4.12,US,1676140980
371,narsaq,60.9167,-46.05,-20.81,89,6,2.88,GL,1676141321
372,bilibino,68.0546,166.4372,-34.58,95,100,0.83,RU,1676141321
373,filadelfia,39.9523,-75.1638,9.47,38,20,2.57,US,1676141265
374,aloleng,16.1307,119.7824,24.13,76,2,3.65,PH,1676141322
375,kautokeino,69.0125,23.0412,-6.42,81,9,6.51,NO,1676141322
376,shellbrook,53.2168,-106.4011,-0.43,90,83,3.74,CA,1676141323
377,antsohihy,-14.8796,47.9875,23.51,94,100,1.46,MG,1676141323
378,kampong thum,12.7111,104.8887,25.27,64,100,3.0,KH,1676141323
379,niksar,40.5917,36.9517,-2.0,94,98,1.58,TR,1676141323
380,omsukchan,62.5333,155.8,-23.9,99,100,0.78,RU,1676141324
381,auki,-8.7676,160.7034,24.73,80,100,1.52,SB,1676141324
382,requena,39.4883,-1.1004,3.62,85,32,2.68,ES,1676141324
383,zabol,32.25,67.25,-0.87,50,0,7.43,AF,1676141325
384,chippewa falls,44.9369,-91.3929,4.43,56,0,6.17,US,1676141263
385,kindersley,51.4668,-109.1682,-4.99,74,20,3.6,CA,1676141325
386,sambek,47.7431,39.8308,-4.4,82,100,3.72,RU,1676141326
387,bima,-8.4667,118.7167,24.12,93,100,0.42,ID,1676141327
388,vallenar,-28.5708,-70.7581,31.42,30,37,3.71,CL,1676141327
389,vostok,46.4856,135.8833,-11.86,97,100,0.83,RU,1676141328
390,kushiro,42.975,144.3747,-2.4,94,100,0.62,JP,1676141328
391,ubajara,-3.8544,-40.9211,29.51,37,30,3.29,BR,1676141328
392,dudinka,69.4058,86.1778,-10.44,94,100,6.69,RU,1676141329
393,umm kaddadah,13.6017,26.6876,23.77,16,82,5.99,SD,1676141329
394,port augusta,-32.5,137.7667,17.61,74,0,5.45,AU,1676141329
395,borova,50.1763,30.1043,1.86,94,100,7.55,UA,1676141330
